Designator,Mid X,Mid Y,Rotation,Layer
BT1_12,86.0,-42.0,180.0,top
BT1_11,29.0,-183.0,180.0,top
BT1_10,29.0,-42.0,180.0,top
BT1_9,143.0,-136.0,180.0,top
BT1_8,29.0,-136.0,180.0,top
BT1_7,86.0,-183.0,180.0,top
BT1_6,143.0,-183.0,180.0,top
BT1_5,86.0,-89.0,180.0,top
BT1_4,86.0,-136.0,180.0,top
BT1_3,143.0,-42.0,180.0,top
BT1_2,29.0,-89.0,180.0,top
BT1,143.0,-89.0,180.0,top
C1_12,157.75,-170.475,90.0,top
C1_11,100.75,-123.475,90.0,top
C1_10,43.75,-170.475,90.0,top
C1_9,43.75,-29.475,90.0,top
C1_8,157.75,-29.475,90.0,top
C1_7,43.75,-123.475,90.0,top
C1_6,43.75,-76.475,90.0,top
C1_5,157.75,-123.475,90.0,top
C1_4,157.75,-76.475,90.0,top
C1_3,100.75,-29.475,90.0,top
C1_2,100.75,-170.475,90.0,top
C1,100.75,-76.475,90.0,top
C2_12,157.75,-71.475,90.0,top
C2_11,157.75,-24.475,90.0,top
C2_10,100.75,-165.475,90.0,top
C2_9,157.75,-165.475,90.0,top
C2_8,100.75,-24.475,90.0,top
C2_7,43.75,-24.475,90.0,top
C2_6,100.75,-71.475,90.0,top
C2_5,157.75,-118.475,90.0,top
C2_4,100.75,-118.475,90.0,top
C2_3,43.75,-118.475,90.0,top
C2_2,43.75,-71.475,90.0,top
C2,43.75,-165.475,90.0,top
C3_12,43.75,-66.475,90.0,top
C3_11,100.75,-66.475,90.0,top
C3_10,157.75,-160.475,90.0,top
C3_9,43.75,-113.475,90.0,top
C3_8,100.75,-113.475,90.0,top
C3_7,100.75,-19.475,90.0,top
C3_6,157.75,-19.475,90.0,top
C3_5,43.75,-160.475,90.0,top
C3_4,157.75,-113.475,90.0,top
C3_3,157.75,-66.475,90.0,top
C3_2,43.75,-19.475,90.0,top
C3,100.75,-160.475,90.0,top
D1_12,129.9375,-114.0,0.0,top
D1_11,15.9375,-161.0,0.0,top
D1_10,15.9375,-114.0,0.0,top
D1_9,129.9375,-67.0,0.0,top
D1_8,129.9375,-161.0,0.0,top
D1_7,15.9375,-20.0,0.0,top
D1_6,72.9375,-67.0,0.0,top
D1_5,15.9375,-67.0,0.0,top
D1_4,72.9375,-161.0,0.0,top
D1_3,129.9375,-20.0,0.0,top
D1_2,72.9375,-114.0,0.0,top
D1,72.9375,-20.0,0.0,top
D2_12,78.9375,-62.0,0.0,top
D2_11,21.9375,-15.0,0.0,top
D2_10,135.9375,-156.0,0.0,top
D2_9,21.9375,-62.0,0.0,top
D2_8,78.9375,-156.0,0.0,top
D2_7,78.9375,-109.0,0.0,top
D2_6,21.9375,-156.0,0.0,top
D2_5,135.9375,-15.0,0.0,top
D2_4,21.9375,-109.0,0.0,top
D2_3,135.9375,-62.0,0.0,top
D2_2,78.9375,-15.0,0.0,top
D2,135.9375,-109.0,0.0,top
